analysis	cohort	sample	signal	width	jsd	tv	hellinger	oops_ap	zoops_ap	oops_conf	zoops_conf	zoops_fraction	oops_resampling	zoops_resampling
ctcf_initial	calu3-development	5	100.0	19	0.10387604865090032			0.70370287754777	0.7133794164134021	7.041821484516325	7.131440907909939	0.807	0.10254251976735296	0.0024386668281018656
ctcf_initial	calu3-development	6	0.0	19	0.38612326585832646			0.07049254404698718	0.07548291106761837	4.280959720524651	6.348145138013653	0.134	0.007082761428860177	0.4305511966265647
ctcf_initial	calu3-development	6	10.0	19	0.3831476371034175			0.07103375053861402	0.07561963794539527	0.0	6.236697307706469	0.123	0.10841659110594423	0.49142444103125094
ctcf_initial	calu3-development	6	25.0	19	0.3390576827784713			0.071449218354961	0.07567352479123658	0.0	6.021369569756792	0.103	0.10867846058695015	0.44509869094547566
ctcf_initial	calu3-development	6	50.0	19	0.3872491791248252			0.07332603418759873	0.07510626346578118	0.0	5.749392985908253	0.086	0.012020077866433125	0.11463683169123953
ctcf_initial	calu3-development	6	75.0	19	0.1796170462027427			0.6689274692637225	0.7068783570664771	6.269017885396152	6.705947262760619	0.666	0.15117944320804863	0.0038557214075862914
ctcf_initial	calu3-development	6	100.0	19	0.17946758843010766			0.6953883506437748	0.7151823676645945	6.97026859919602	7.123787740324306	0.828	0.16256986400230602	0.0021253334501604563
ctcf_initial	calu3-development	7	0.0	19	0.3871831709670524			0.0701797500573398	0.0745519228375708	4.750633905936056	6.3644476278508995	0.134	0.007572360998510721	0.005395525874876329
ctcf_initial	calu3-development	7	10.0	19	0.48944910387015905			0.07077092232601453	0.07332666969901575	3.5757456489898773	6.246233698411199	0.123	0.10664014704867283	0.5671636330015286
ctcf_initial	calu3-development	7	25.0	19	0.48364142355620837			0.07127168828254081	0.07294308657616931	0.0	6.092286324379032	0.108	0.10755877567449974	0.5701181892499958
ctcf_initial	calu3-development	7	50.0	19	0.3959515087889921			0.07186435455070038	0.07345974167055432	0.0	5.720924987385925	0.078	0.11348896659335468	0.10913026207260686
ctcf_initial	calu3-development	7	75.0	19	0.11320858081715164			0.6851688974224998	0.7089624735781056	6.164152221741847	6.592728800849983	0.583	0.005652760215063325	0.002802835159269682
ctcf_initial	calu3-development	7	100.0	19	0.10443815386287274			0.7080416127940024	0.7122210609794802	6.951288650416423	7.070221802190754	0.813	0.002304814162167998	0.002568623272355455
ctcf_initial	calu3-development	8	0.0	19	0.39588410900306165			0.07026564479951218	0.07239607214659602	5.626886599459166	6.610696044717759	0.172	0.18546642608034453	0.5805790477871413
ctcf_initial	calu3-development	8	10.0	19	0.388265740507831			0.07095726840104626	0.07397916322997643	5.148358880151549	6.52496896291482	0.161	0.11161435544024252	0.550922757021851
ctcf_initial	calu3-development	8	25.0	19	0.3864178224279057			0.07134231863451895	0.07429248911892017	3.807678806269274	6.260580732785004	0.128	0.11503349121720682	0.554625242735006
ctcf_initial	calu3-development	8	50.0	19	0.4497073891663603			0.07404307947895647	0.07476402957081402	0.0	5.908376116376341	0.095	0.01688733449228391	0.42899065001803816
ctcf_initial	calu3-development	8	75.0	19	0.015386771974114852			0.6487298424453938	0.7066681380955631	6.2666714643866905	6.658783609999499	0.565	0.002925881113305403	0.00286467459816553
ctcf_initial	calu3-development	8	100.0	19	0.19569428081580365			0.693398589325018	0.708722974636795	6.96197945820665	7.08339520827296	0.77	0.19176563573457073	0.003079325777412689
ctcf_initial	calu3-development	9	0.0	19	0.3835246250646987			0.07052030272749243	0.07361548728526435	5.411292501657964	6.452410321294651	0.151	0.007607207685633721	0.5516998672053715
ctcf_initial	calu3-development	9	10.0	19	0.3779319528016045			0.0709225102111388	0.07359905544084652	5.110757393281136	6.395298786730641	0.143	0.008796614630601786	0.5551981796805832
